route_rank,step,area_id,area_name,step_probability,cumulative_probability
1,1,1,Delhi NCR — North India,0.4615384615384615,0.4615384615384615
1,2,0,Hyderabad — South India,0.7758620689655172,0.3580901856763926
1,3,1,Delhi NCR — North India,0.4615384615384615,0.1652723933891043
1,4,0,Hyderabad — South India,0.7758620689655172,0.1282285810777533
2,1,1,Delhi NCR — North India,0.4615384615384615,0.4615384615384615
2,2,0,Hyderabad — South India,0.7758620689655172,0.3580901856763926
2,3,4,Guwahati — Northeast India,0.2580645161290322,0.0924103704971335
2,4,2,Kolkata — East India,0.4210526315789473,0.0389096296830036
3,1,1,Delhi NCR — North India,0.4615384615384615,0.4615384615384615
3,2,0,Hyderabad — South India,0.7758620689655172,0.3580901856763926
3,3,3,Mumbai — West India,0.2779156327543424,0.0995188605353746
3,4,2,Kolkata — East India,0.3908629441624365,0.0388982348285474
