Case_ID,FIR_Reference,Person_ID,Age_Group,Gender,Last_Latitude,Last_Longitude,Last_Seen_Time,Day,Weather,State,City,Police_Station,Usual_Area,Average_Distance,Average_Speed,Previous_Area,Time_Since_Last_Seen,Target_Area
MP-AP-2026-001,FIR-242/2026-AP,378,18-25,Male,15.937736,79.733087,07:14,Friday,Fog,Andhra Pradesh,Kakinada,Tirupati Urban PS,Visakhapatnam RTC Complex,5.06,4.64,Nellore Residential Zone,27,Hyderabad — South India
MP-AP-2026-002,FIR-384/2026-AP,415,18-25,Male,15.945284,79.816151,14:37,Saturday,Fog,Andhra Pradesh,Kakinada,Nellore East PS,Vijayawada Bus Stand,6.42,14.42,Vijayawada Residential Zone,13,Mumbai — West India
MP-AP-2026-003,FIR-926/2026-AP,23,51-65,Male,15.901192,79.728293,19:16,Thursday,Clear,Andhra Pradesh,Guntur,Tirupati Urban PS,Nellore Bus Stand,21.25,9.85,Rajahmundry Transit Hub,26,Kolkata — East India
MP-AP-2026-004,FIR-975/2026-AP,120,18-25,Female,15.991861,79.778372,09:05,Wednesday,Fog,Andhra Pradesh,Kakinada,Tirupati Urban PS,Kakinada University Campus,11.03,6.5,Tirupati Transit Hub,11,Hyderabad — South India
MP-AR-2026-005,FIR-267/2026-AR,237,51-65,Female,27.076526,93.647128,23:15,Saturday,Partly Cloudy,Arunachal Pradesh,Tawang,Pasighat PS,Naharlagun IT Park,10.13,11.87,Naharlagun Commercial Area,6,Delhi NCR — North India
MP-AR-2026-006,FIR-680/2026-AR,449,36-50,Male,27.076829,93.596714,06:58,Saturday,Fog,Arunachal Pradesh,Pasighat,Naharlagun PS,Pasighat IT Park,13.09,5.08,Naharlagun Hospital Area,70,Kolkata — East India
MP-AR-2026-007,FIR-470/2026-AR,113,26-35,Female,27.112098,93.524336,18:25,Monday,Clear,Arunachal Pradesh,Pasighat,Pasighat PS,Naharlagun Railway Station,16.8,12.19,Pasighat Hospital Area,10,Guwahati — Northeast India
MP-AR-2026-008,FIR-666/2026-AR,441,18-25,Male,27.013754,93.591886,16:16,Saturday,Partly Cloudy,Arunachal Pradesh,Pasighat,Naharlagun PS,Pasighat University Campus,17.1,3.01,Pasighat Commercial Area,60,Guwahati — Northeast India
MP-AS-2026-009,FIR-208/2026-AS,446,36-50,Male,26.089358,91.785712,05:32,Tuesday,Rain,Assam,Guwahati,Dibrugarh PS,Silchar Temple Zone,23.98,13.95,Guwahati Hospital Area,43,Kolkata — East India
MP-AS-2026-010,FIR-159/2026-AS,124,65+,Male,26.094599,91.699385,09:15,Monday,Fog,Assam,Jorhat,Guwahati Central PS,Guwahati University Campus,14.72,3.2,Jorhat Hospital Area,23,Hyderabad — South India
MP-AS-2026-011,FIR-652/2026-AS,387,26-35,Female,26.213282,91.758711,06:59,Thursday,Rain,Assam,Dibrugarh,Dibrugarh PS,Jorhat Temple Zone,12.93,4.85,Guwahati Transit Hub,4,Guwahati — Northeast India
