Case_ID,Person_ID,Age_Group,Gender,Last_Latitude,Last_Longitude,Last_Seen_Time,Day,Weather,Usual_Area,Average_Distance,Average_Speed,Previous_Area,Time_Since_Last_Seen,Target_Area
MP-2026-001,7,0,1,40.0311,116.254135,18:20,1,1,0,66.16,2.71,0,24,0
MP-2026-002,3,2,0,39.919574,116.528024,03:23,5,0,1,72.19,2.8,4,21,1
MP-2026-003,1,5,1,39.878088,116.499316,17:43,4,0,1,81.83,9.83,1,60,2
MP-2026-004,3,1,1,39.919625,116.528069,15:56,4,0,1,72.19,2.8,1,39,1
MP-2026-005,2,0,0,39.95484,116.513495,22:13,5,0,1,79.64,3.82,1,60,1
MP-2026-006,7,5,0,39.965048,116.432967,02:13,5,3,0,66.16,2.71,0,6,0
MP-2026-007,6,0,0,40.107249,116.262115,16:28,6,0,2,76.25,3.11,0,14,2
MP-2026-008,8,0,1,39.918615,116.325155,20:44,2,0,3,72.64,2.95,4,60,3
MP-2026-009,9,5,0,40.037093,116.218936,08:24,6,0,1,81.19,3.27,1,63,1
MP-2026-010,3,5,1,39.999597,116.229482,18:34,1,0,1,72.19,2.8,1,41,1
MP-2026-011,7,5,0,40.001494,116.410237,17:33,6,1,0,66.16,2.71,0,37,2
MP-2026-012,3,1,1,39.898678,116.503333,17:26,6,4,1,72.19,2.8,4,3,1
MP-2026-013,1,1,1,39.924908,116.532746,16:13,0,0,1,81.83,9.83,1,51,1
MP-2026-014,7,2,0,39.96502,116.432931,11:31,1,1,0,66.16,2.71,0,15,0
MP-2026-015,4,1,0,39.810598,116.412002,05:58,2,1,4,77.15,8.92,4,62,4
MP-2026-016,9,2,0,39.962361,116.527671,14:43,2,1,1,81.19,3.27,1,62,3
MP-2026-017,1,2,1,39.878619,116.427857,09:56,2,0,1,81.83,9.83,1,72,4
MP-2026-018,9,0,0,39.947624,116.467359,09:50,5,0,1,81.19,3.27,1,32,4
